name,industry,category,price,user_rating,user_reviews,price_band,rating_tier
Frappuccino® Blended Coffee,Coffee,Soymilk,350.0,140.0,73,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,340.0,130.0,73,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,310.0,130.0,66,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,310.0,110.0,60,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,260.0,110.0,55,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,260.0,100.0,56,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,180.0,130.0,40,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,220.0,75.0,44,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,180.0,70.0,41,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,160.0,0.0,36,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,420.0,145.0,84,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,340.0,140.0,76,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,330.0,130.0,77,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,310.0,95.0,69,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,240.0,95.0,50,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,240.0,75.0,44,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,200.0,70.0,41,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,200.0,70.0,40,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,180.0,70.0,36,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,460.0,145.0,84,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,390.0,140.0,76,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,370.0,130.0,77,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,350.0,130.0,69,Ultra ($250+),Top Rated (4.5-5)
